Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
4,HA,KC883402,Yes,1701,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
3,"PA,PA-X protein(+61)",KC883404,Yes,2151,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
7,"M1,M2",KC883398,Yes,984,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
1,PB2,KC883400,Yes,2280,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
1,PB2,KC780109,Yes,2280,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
2,PB1,KC780110,Yes,2274,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
3,"PA,PA-X protein(+41)",KC780105,Yes,2151,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
4,HA,KC780106,Yes,1701,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
8,"NS1,NS2",KC780103,Yes,863,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
6,NA,KC780108,Yes,1410,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
7,"M1,M2",KC780107,Yes,982,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
5,NP,KC780104,Yes,1497,H1N1,9/11/2009,IRD:Human,USA,Alaska,9-Aug,A/Alaska/38/2009
5,NP,KC780776,Yes,1497,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
3,"PA,PA-X protein(+41)",KC780779,Yes,2151,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
8,"NS1,NS2",KC780777,Yes,863,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
1,PB2,KC780778,Yes,2280,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
2,PB1,KC780775,Yes,2274,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
6,NA,KC780780,Yes,1410,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
7,"M1,M2",KC780782,Yes,982,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
4,HA,KC780781,Yes,1701,H1N1,12/4/2009,IRD:Human,USA,Alaska,10-Sep,A/Alaska/47/2009
8,"NS1,NS2",CY097538,Yes,865,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
3,"PA,PA-X protein(+61)",CY097539,Yes,2201,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
6,NA,CY097536,Yes,1437,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
1,PB2,CY097541,Yes,2316,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
2,"PB1,PB1-F2",CY097540,Yes,2316,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
4,HA,CY097534,Yes,1719,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
7,"M1,M2",CY097535,Yes,990,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
5,NP,CY097537,Yes,1541,H8N4,11/29/2009,IRD:American Black Duck/Avian,USA,Illinois,10-Sep,A/American black duck/Illinois/4119/2009(H8N4)
5,NP,CY138643,Yes,1531,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
7,"M1,M2",CY138641,Yes,1002,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
8,"NS1,NS2",CY138644,Yes,865,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
1,PB2,CY138647,Yes,2307,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
3,"PA,PA-X protein(+61)",CY138645,Yes,2195,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
6,NA,CY138642,Yes,1422,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
4,HA,CY138640,Yes,1746,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
2,"PB1,PB1-F2",CY138646,Yes,2311,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
4,HA,CY138648,Yes,1740,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
7,"M1,M2",CY138649,Yes,1002,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
1,PB2,CY138655,Yes,2307,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
2,"PB1,PB1-F2",CY138654,Yes,2316,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
5,NP,CY138651,Yes,1540,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
6,NA,CY138650,Yes,1424,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
8,"NS1,NS2",CY138652,Yes,853,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
3,"PA,PA-X protein(+61)",CY138653,Yes,2208,H3N8,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
3,"PA,PA-X protein(+61)",CY138669,Yes,2201,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
7,"M1,M2",CY138665,Yes,1002,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
2,"PB1,PB1-F2",CY138670,Yes,2316,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
5,NP,CY138667,Yes,1531,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
6,NA,CY138666,Yes,1422,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
1,PB2,CY138671,Yes,2316,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
4,HA,CY138664,Yes,1746,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
8,"NS1,NS2",CY138668,Yes,865,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
7,"M1,M2",CY138673,Yes,1002,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
5,NP,CY138675,Yes,1534,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
6,NA,CY138674,Yes,1422,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
8,"NS1,NS2",CY138676,Yes,853,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
3,"PA,PA-X protein(+61)",CY138677,Yes,2201,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
1,PB2,CY138679,Yes,2316,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
2,"PB1,PB1-F2",CY138678,Yes,2311,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
4,HA,CY138672,Yes,1746,H1N1,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
1,PB2,CY138776,Yes,2316,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
8,"NS1,NS2",CY138773,Yes,865,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
4,HA,CY138769,Yes,1706,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
5,NP,CY138772,Yes,1530,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
3,"PA,PA-X protein(+61)",CY138774,Yes,2201,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
7,"M1,M2",CY138770,Yes,1002,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
6,NA,CY138771,Yes,1433,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
2,"PB1,PB1-F2",CY138775,Yes,2316,H7N7,8/8/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
3,"PA,PA-X protein(+61)",CY138822,Yes,2195,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
4,HA,CY138817,Yes,1746,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
6,NA,CY138819,Yes,1422,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
5,NP,CY138820,Yes,1534,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
1,PB2,CY138824,Yes,2307,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
7,"M1,M2",CY138818,Yes,1002,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
2,"PB1,PB1-F2",CY138823,Yes,2316,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
8,"NS1,NS2",CY138821,Yes,865,H1N1,8/9/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
2,"PB1,PB1-F2",CY138848,Yes,2316,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
3,"PA,PA-X protein(+61)",CY138847,Yes,2208,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
8,"NS1,NS2",CY138846,Yes,865,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
5,NP,CY138845,Yes,1531,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
4,HA,CY138842,Yes,1746,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
1,PB2,CY138849,Yes,2316,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
7,"M1,M2",CY138843,Yes,1002,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
6,NA,CY138844,Yes,1413,H1N1,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
6,NA,CY138852,Yes,1424,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
1,PB2,CY138857,Yes,2307,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
5,NP,CY138853,Yes,1536,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
7,"M1,M2",CY138851,Yes,1002,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
4,HA,CY138850,Yes,1740,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
2,"PB1,PB1-F2",CY138856,Yes,2316,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
8,"NS1,NS2",CY138854,Yes,865,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
3,"PA,PA-X protein(+61)",CY138855,Yes,2208,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
3,"PA,PA-X protein(+61)",CY138863,Yes,2201,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
7,"M1,M2",CY138859,Yes,1002,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
6,NA,CY138860,Yes,1424,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
4,HA,CY138858,Yes,1740,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
5,NP,CY138861,Yes,1540,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
1,PB2,CY138865,Yes,2307,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
2,"PB1,PB1-F2",CY138864,Yes,2316,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
8,"NS1,NS2",CY138862,Yes,865,H3N8,8/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
2,"PB1,PB1-F2",CY138872,Yes,2316,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
8,"NS1,NS2",CY138870,Yes,853,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
7,"M1,M2",CY138867,Yes,991,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
5,NP,CY138869,Yes,1536,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
3,"PA,PA-X protein(+61)",CY138871,Yes,2201,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
6,NA,CY138868,Yes,1424,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
4,HA,CY138866,Yes,1740,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
1,PB2,CY138873,Yes,2307,H3N8,8/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
1,PB2,CY138052,Yes,2316,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
8,"NS1,NS2",CY138049,Yes,853,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
2,"PB1,PB1-F2",CY138051,Yes,2315,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
7,"M1,M2",CY138046,Yes,1002,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
4,HA,CY138045,Yes,1713,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
5,NP,CY138048,Yes,1536,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
6,NA,CY138047,Yes,1439,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
3,"PA,PA-X protein(+61)",CY138050,Yes,2208,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
4,HA,CY138874,Yes,1740,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
5,NP,CY138877,Yes,1540,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
2,"PB1,PB1-F2",CY138880,Yes,2316,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
8,"NS1,NS2",CY138878,Yes,853,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
1,PB2,CY138881,Yes,2307,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
7,"M1,M2",CY138875,Yes,1002,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
3,"PA,PA-X protein(+61)",CY138879,Yes,2208,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
6,NA,CY138876,Yes,1433,H3N8,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
7,"M1,M2",CY138883,Yes,1002,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
6,NA,CY138884,Yes,1439,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
1,PB2,CY138889,Yes,2307,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
2,"PB1,PB1-F2",CY138888,Yes,2315,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
8,"NS1,NS2",CY138886,Yes,855,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
5,NP,CY138885,Yes,1536,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
4,HA,CY138882,Yes,1713,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
3,"PA,PA-X protein(+61)",CY138887,Yes,2208,H4N6,8/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
