CY135326,CY135325,CY135324,CY135319,CY135322,CY135321,CY135320,CY135323
CY144118,CY144117,CY144116,CY144111,CY144114,CY144113,CY144112,CY144115
CY141949,CY141948,CY141947,CY141942,CY141945,CY141944,CY141943,CY141946
CY135470,CY135469,CY135468,CY135463,CY135466,CY135465,CY135464,CY135467
CY135454,CY135453,CY135452,CY135447,CY135450,CY135449,CY135448,CY135451
CY142425,CY142424,CY142423,CY142418,CY142421,CY142420,CY142419,CY142422
CY135446,CY135445,CY135444,CY135439,CY135442,CY135441,CY135440,CY135443
CY135374,CY135373,CY135372,CY135367,CY135370,CY135369,CY135368,CY135371
CY135430,CY135429,CY135428,CY135423,CY135426,CY135425,CY135424,CY135427
CY135422,CY135421,CY135420,CY135415,CY135418,CY135417,CY135416,CY135419
CY135478,CY135477,CY135476,CY135471,CY135474,CY135473,CY135472,CY135475
CY135550,CY135549,CY135548,CY135543,CY135546,CY135545,CY135544,CY135547
CY135196,CY135195,CY135194,CY135189,CY135192,CY135191,CY135190,CY135193
CY135566,CY135565,CY135564,CY135559,CY135562,CY135561,CY135560,CY135563
CY135574,CY135573,CY135572,CY135567,CY135570,CY135569,CY135568,CY135571
CY141997,CY141996,CY141995,CY141990,CY141993,CY141992,CY141991,CY141994
CY141422,CY141421,CY141420,0,CY141418,CY141417,CY141416,CY141419
CY141406,0,CY141403,CY141398,CY141401,CY141400,CY141399,CY141402
CY136196,CY136195,CY136194,CY136189,CY136192,CY136191,CY136190,CY136193
CY135414,CY135413,CY135412,CY135407,CY135410,CY135409,CY135408,CY135411
CY135502,CY135501,CY135500,CY135495,CY135498,CY135497,CY135496,CY135499
CY135518,CY135517,CY135516,CY135511,CY135514,CY135513,CY135512,CY135515
CY135526,CY135525,CY135524,CY135519,CY135522,CY135521,CY135520,CY135523
CY135188,CY135187,0,CY135181,CY135184,CY135183,CY135182,CY135185
CY142481,CY142480,CY142479,CY142474,CY142477,CY142476,CY142475,CY142478
CY142689,CY142688,CY142687,CY142682,CY142685,CY142684,CY142683,CY142686
CY142473,CY142472,CY142471,CY142466,CY142469,CY142468,CY142467,CY142470
CY136146,CY136145,CY136144,CY136139,CY136142,CY136141,CY136140,CY136143
CY142257,CY142256,CY142255,CY142250,CY142253,CY142252,CY142251,CY142254
CY142201,CY142200,CY142199,CY142194,CY142197,CY142196,CY142195,CY142198
CY135582,CY135581,CY135580,CY135575,CY135578,CY135577,CY135576,CY135579
CY142337,CY142336,CY142335,CY142330,CY142333,CY142332,CY142331,CY142334
CY135590,CY135589,CY135588,CY135583,CY135586,CY135585,CY135584,CY135587
CY143001,CY143000,CY142999,CY142994,CY142997,CY142996,CY142995,CY142998
CY142777,CY142776,CY142775,CY142770,CY142773,CY142772,CY142771,CY142774
CY141448,CY141447,CY141446,CY141441,CY141444,0,CY141442,CY141445
CY142505,CY142504,CY142503,CY142498,CY142501,CY142500,CY142499,CY142502
0,0,CY141429,0,0,CY141426,CY141425,CY141428
CY143427,CY143426,CY143425,CY143420,CY143423,CY143422,CY143421,CY143424
CY143363,CY143362,CY143361,CY143356,CY143359,CY143358,CY143357,CY143360
CY143435,CY143434,CY143433,CY143428,CY143431,CY143430,CY143429,CY143432
CY143443,CY143442,CY143441,CY143436,CY143439,CY143438,CY143437,CY143440
CY142593,CY142592,CY142591,CY142586,CY142589,CY142588,CY142587,CY142590
CY143371,CY143370,CY143369,CY143364,CY143367,CY143366,CY143365,CY143368
CY142601,CY142600,CY142599,CY142594,CY142597,CY142596,CY142595,CY142598
CY142005,CY142004,CY142003,CY141998,CY142001,CY142000,CY141999,CY142002
CY142449,CY142448,CY142447,CY142442,CY142445,CY142444,CY142443,CY142446
CY142569,CY142568,CY142567,CY142562,CY142565,CY142564,CY142563,CY142566
CY142609,CY142608,CY142607,CY142602,CY142605,CY142604,CY142603,CY142606
CY142625,CY142624,CY142623,CY142618,CY142621,CY142620,CY142619,CY142622
CY142177,CY142176,CY142175,CY142170,CY142173,CY142172,CY142171,CY142174
CY142145,CY142144,CY142143,CY142138,CY142141,CY142140,CY142139,CY142142
CY142641,CY142640,CY142639,CY142634,CY142637,CY142636,CY142635,CY142638
CY142969,CY142968,CY142967,CY142962,CY142965,CY142964,CY142963,CY142966
CY142040,CY142039,CY142038,CY142033,CY142036,CY142035,CY142034,CY142037
CY142265,CY142264,CY142263,CY142258,CY142261,CY142260,CY142259,CY142262
CY136138,CY136137,CY136136,CY136131,CY136134,CY136133,CY136132,CY136135
CY142529,CY142528,CY142527,CY142522,CY142525,CY142524,CY142523,CY142526
CY136332,CY136331,CY136330,CY136325,CY136328,CY136327,CY136326,CY136329
CY142225,CY142224,CY142223,CY142218,CY142221,CY142220,CY142219,CY142222
CY141440,0,CY141438,0,0,CY141435,CY141434,CY141437
CY142657,CY142656,CY142655,CY142650,CY142653,CY142652,CY142651,CY142654
CY136077,CY136076,CY136075,CY136070,CY136073,CY136072,CY136071,CY136074
CY136220,CY136219,CY136218,CY136213,CY136216,CY136215,CY136214,CY136217
CY142665,CY142664,CY142663,CY142658,CY142661,CY142660,CY142659,CY142662
CY142673,CY142672,CY142671,CY142666,CY142669,CY142668,CY142667,CY142670
CY142905,CY142904,CY142903,CY142898,CY142901,CY142900,CY142899,CY142902
CY143379,CY143378,CY143377,CY143372,CY143375,CY143374,CY143373,CY143376
CY143387,CY143386,CY143385,CY143380,CY143383,CY143382,CY143381,CY143384
CY136130,CY136129,CY136128,CY136123,CY136126,CY136125,CY136124,CY136127
CY142681,CY142680,CY142679,CY142674,CY142677,CY142676,CY142675,CY142678
CY142345,CY142344,CY142343,CY142338,CY142341,CY142340,CY142339,CY142342
CY142056,CY142055,CY142054,CY142049,CY142052,CY142051,CY142050,CY142053
CY142096,CY142095,CY142094,CY142089,CY142092,CY142091,CY142090,CY142093
CY142697,CY142696,CY142695,CY142690,CY142693,CY142692,CY142691,CY142694
CY142705,CY142704,CY142703,CY142698,CY142701,CY142700,CY142699,CY142702
CY136262,CY136261,CY136260,CY136255,CY136258,CY136257,CY136256,CY136259
CY136093,CY136092,CY136091,CY136086,CY136089,CY136088,CY136087,CY136090
CY136245,CY136244,CY136243,CY136238,CY136241,CY136240,CY136239,CY136242
CY142721,CY142720,CY142719,CY142714,CY142717,CY142716,CY142715,CY142718
CY142497,CY142496,CY142495,CY142490,CY142493,CY142492,CY142491,CY142494
CY142913,CY142912,CY142911,CY142906,CY142909,CY142908,CY142907,CY142910
CY142417,CY142416,CY142415,CY142410,CY142413,CY142412,CY142411,CY142414
CY142921,CY142920,CY142919,CY142914,CY142917,CY142916,CY142915,CY142918
CY142209,CY142208,CY142207,CY142202,CY142205,CY142204,CY142203,CY142206
CY142929,CY142928,CY142927,CY142922,CY142925,CY142924,CY142923,CY142926
CY142937,CY142936,CY142935,CY142930,CY142933,CY142932,CY142931,CY142934
CY136101,CY136100,CY136099,CY136094,CY136097,CY136096,CY136095,CY136098
CY141390,CY141389,CY141388,0,CY141386,CY141385,CY141384,CY141387
CY143281,CY143280,CY143279,CY143274,CY143277,CY143276,CY143275,CY143278
CY142489,CY142488,CY142487,CY142482,CY142485,CY142484,CY142483,CY142486
CY141374,CY141373,CY141372,CY141367,0,CY141369,CY141368,CY141371
CY142233,CY142232,CY142231,CY142226,CY142229,CY142228,CY142227,CY142230
CY136270,CY136269,CY136268,CY136263,CY136266,CY136265,CY136264,CY136267
CY142945,CY142944,CY142943,CY142938,CY142941,CY142940,CY142939,CY142942
CY142273,CY142272,CY142271,CY142266,CY142269,CY142268,CY142267,CY142270
CY142281,CY142280,CY142279,CY142274,CY142277,CY142276,CY142275,CY142278
CY142457,CY142456,CY142455,CY142450,CY142453,CY142452,CY142451,CY142454
CY142289,CY142288,CY142287,CY142282,CY142285,CY142284,CY142283,CY142286
CY142465,CY142464,CY142463,CY142458,CY142461,CY142460,CY142459,CY142462
CY142953,CY142952,CY142951,CY142946,CY142949,CY142948,CY142947,CY142950
CY143395,CY143394,CY143393,CY143388,CY143391,CY143390,CY143389,CY143392
CY142521,CY142520,CY142519,CY142514,CY142517,CY142516,CY142515,CY142518
CY143355,CY143354,CY143353,CY143348,CY143351,CY143350,CY143349,CY143352
CY142161,CY142160,CY142159,CY142154,CY142157,CY142156,CY142155,CY142158
CY142217,CY142216,CY142215,CY142210,CY142213,CY142212,CY142211,CY142214
CY143009,CY143008,CY143007,CY143002,CY143005,CY143004,CY143003,CY143006
CY142785,CY142784,CY142783,CY142778,CY142781,CY142780,CY142779,CY142782
CY143033,CY143032,CY143031,CY143026,CY143029,CY143028,CY143027,CY143030
CY141358,CY141357,CY141356,CY141351,CY141354,CY141353,CY141352,CY141355
CY142961,CY142960,CY142959,CY142954,CY142957,CY142956,CY142955,CY142958
CY142297,CY142296,CY142295,CY142290,CY142293,CY142292,CY142291,CY142294
CY142985,CY142984,CY142983,CY142978,CY142981,CY142980,CY142979,CY142982
CY136278,CY136277,CY136276,CY136271,CY136274,CY136273,CY136272,CY136275
CY136109,CY136108,CY136107,CY136102,CY136105,CY136104,CY136103,CY136106
CY136162,CY136161,CY136160,CY136155,CY136158,CY136157,CY136156,CY136159
CY136204,CY136203,CY136202,CY136197,CY136200,CY136199,CY136198,CY136201
CY136212,CY136211,CY136210,CY136205,CY136208,CY136207,CY136206,CY136209
CY141366,CY141365,CY141364,0,CY141362,CY141361,CY141360,CY141363
CY142153,CY142152,CY142151,CY142146,CY142149,CY142148,CY142147,CY142150
CY142353,CY142352,CY142351,CY142346,CY142349,CY142348,CY142347,CY142350
CY142873,CY142872,CY142871,CY142866,CY142869,CY142868,CY142867,CY142870
CY142377,CY142376,CY142375,CY142370,CY142373,CY142372,CY142371,CY142374
CY142897,CY142896,CY142895,CY142890,CY142893,CY142892,CY142891,CY142894
CY143249,CY143248,CY143247,CY143242,CY143245,CY143244,CY143243,CY143246
CY142833,CY142832,CY142831,CY142826,CY142829,CY142828,CY142827,CY142830
CY143257,CY143256,CY143255,CY143250,CY143253,CY143252,CY143251,CY143254
CY136237,CY136236,CY136235,CY136230,CY136233,CY136232,CY136231,CY136234
CY142881,CY142880,CY142879,CY142874,CY142877,CY142876,CY142875,CY142878
CY143305,CY143304,CY143303,CY143298,CY143301,CY143300,CY143299,CY143302
CY136286,CY136285,CY136284,CY136279,CY136282,CY136281,CY136280,CY136283
CY142537,CY142536,CY142535,CY142530,CY142533,CY142532,CY142531,CY142534
CY143411,CY143410,CY143409,CY143404,CY143407,CY143406,CY143405,CY143408
CY143057,CY143056,CY143055,CY143050,CY143053,CY143052,CY143051,CY143054
CY143065,CY143064,CY143063,CY143058,CY143061,CY143060,CY143059,CY143062
CY143073,CY143072,CY143071,CY143066,CY143069,CY143068,CY143067,CY143070
CY143081,CY143080,CY143079,CY143074,CY143077,CY143076,CY143075,CY143078
CY142769,CY142768,CY142767,CY142762,CY142765,CY142764,CY142763,CY142766
CY142801,CY142800,CY142799,CY142794,CY142797,CY142796,CY142795,CY142798
CY142401,CY142400,CY142399,CY142394,CY142397,CY142396,CY142395,CY142398
CY142817,CY142816,CY142815,CY142810,CY142813,CY142812,CY142811,CY142814
CY142849,CY142848,CY142847,CY142842,CY142845,CY142844,CY142843,CY142846
CY136294,CY136293,CY136292,CY136287,CY136290,CY136289,CY136288,CY136291
CY143097,CY143096,CY143095,CY143090,CY143093,CY143092,CY143091,CY143094
CY143105,CY143104,CY143103,CY143098,CY143101,CY143100,CY143099,CY143102
CY143113,CY143112,CY143111,CY143106,CY143109,CY143108,CY143107,CY143110
CY143121,CY143120,CY143119,CY143114,CY143117,CY143116,CY143115,CY143118
CY143145,CY143144,CY143143,CY143138,CY143141,CY143140,CY143139,CY143142
CY143419,CY143418,CY143417,CY143412,CY143415,CY143414,CY143413,CY143416
CY130420,CY130419,CY130418,CY130413,CY130416,CY130415,CY130414,CY130417
CY130484,CY130483,CY130482,CY130477,CY130480,CY130479,CY130478,CY130481
CY130395,CY130394,CY130393,CY130388,CY130391,CY130390,CY130389,CY130392
CY130231,CY130230,CY130229,CY130224,CY130227,CY130226,CY130225,CY130228
CY135686,CY135685,CY135684,CY135679,CY135682,CY135681,CY135680,CY135683
CY141570,CY141569,CY141568,CY141563,CY141566,CY141565,CY141564,CY141567
CY141611,CY141610,CY141609,CY141604,CY141607,CY141606,CY141605,CY141608
CY141643,CY141642,CY141641,CY141636,CY141639,CY141638,CY141637,CY141640
CY135858,CY135857,CY135856,CY135851,CY135854,CY135853,CY135852,CY135855
CY135866,CY135865,CY135864,CY135859,CY135862,CY135861,CY135860,CY135863
CY141341,CY141340,CY141339,CY141334,CY141337,CY141336,CY141335,CY141338
CY141578,CY141577,CY141576,CY141571,CY141574,CY141573,CY141572,CY141575
CY136042,CY136041,CY136040,CY136035,CY136038,CY136037,CY136036,CY136039
CY141586,CY141585,CY141584,CY141579,CY141582,CY141581,CY141580,CY141583
CY141594,CY141593,CY141592,CY141587,CY141590,CY141589,CY141588,CY141591
CY141530,CY141529,CY141528,CY141523,CY141526,CY141525,CY141524,CY141527
CY135638,CY135637,CY135636,CY135631,CY135634,CY135633,CY135632,CY135635
CY135646,CY135645,CY135644,CY135639,CY135642,CY135641,CY135640,CY135643
CY135654,CY135653,CY135652,CY135647,CY135650,CY135649,CY135648,CY135651
CY135670,CY135669,CY135668,CY135663,CY135666,CY135665,CY135664,CY135667
CY135786,CY135785,CY135784,CY135779,CY135782,CY135781,CY135780,CY135783
CY135810,CY135809,CY135808,CY135803,CY135806,CY135805,CY135804,CY135807
CY141619,CY141618,CY141617,CY141612,CY141615,CY141614,CY141613,CY141616
CY141701,CY141700,CY141699,CY141694,CY141697,CY141696,CY141695,CY141698
CY135986,CY135985,CY135984,CY135979,CY135982,CY135981,CY135980,CY135983
CY135946,CY135945,CY135944,CY135939,CY135942,CY135941,CY135940,CY135943
CY135994,CY135993,CY135992,CY135987,CY135990,CY135989,CY135988,CY135991
CY141741,CY141740,CY141739,CY141734,CY141737,CY141736,CY141735,CY141738
CY141749,CY141748,CY141747,CY141742,CY141745,CY141744,CY141743,CY141746
CY136034,CY136033,CY136032,CY136027,CY136030,CY136029,CY136028,CY136031
CY142585,CY142584,CY142583,CY142578,CY142581,CY142580,CY142579,CY142582
CY143499,CY143498,CY143497,CY143492,CY143495,CY143494,CY143493,CY143496
CY135978,CY135977,CY135976,CY135971,CY135974,CY135973,CY135972,CY135975
CY141733,CY141732,CY141731,CY141726,CY141729,CY141728,CY141727,CY141730
CY143467,CY143466,CY143465,CY143460,CY143463,CY143462,CY143461,CY143464
CY143475,CY143474,CY143473,CY143468,CY143471,CY143470,CY143469,CY143472
CY141869,CY141868,CY141867,CY141862,CY141865,CY141864,CY141863,CY141866
CY141885,CY141884,CY141883,CY141878,CY141881,CY141880,CY141879,CY141882
CY143483,CY143482,CY143481,CY143476,CY143479,CY143478,CY143477,CY143480
CY143547,CY143546,CY143545,CY143540,CY143543,CY143542,CY143541,CY143544
CY141685,CY141684,CY141683,CY141678,CY141681,CY141680,CY141679,CY141682
CY143595,CY143594,CY143593,CY143588,CY143591,CY143590,CY143589,CY143592
CY143603,CY143602,CY143601,CY143596,CY143599,CY143598,CY143597,CY143600
CY143611,CY143610,CY143609,CY143604,CY143607,CY143606,CY143605,CY143608
CY143619,CY143618,CY143617,CY143612,CY143615,CY143614,CY143613,CY143616
CY143627,CY143626,CY143625,CY143620,CY143623,CY143622,CY143621,CY143624
CY141861,CY141860,CY141859,CY141854,CY141857,CY141856,CY141855,CY141858
CY143635,CY143634,CY143633,CY143628,CY143631,CY143630,CY143629,CY143632
CY141693,CY141692,CY141691,CY141686,CY141689,CY141688,CY141687,CY141690
CY143643,CY143642,CY143641,CY143636,CY143639,CY143638,CY143637,CY143640
CY143651,CY143650,CY143649,CY143644,CY143647,CY143646,CY143645,CY143648
CY143675,CY143674,CY143673,CY143668,CY143671,CY143670,CY143669,CY143672
CY143683,CY143682,CY143681,CY143676,CY143679,CY143678,CY143677,CY143680
CY141877,CY141876,CY141875,CY141870,CY141873,CY141872,CY141871,CY141874
CY143691,CY143690,CY143689,CY143684,CY143687,CY143686,CY143685,CY143688
CY141941,CY141940,CY141939,CY141934,CY141937,CY141936,CY141935,CY141938
CY143779,CY143778,CY143777,CY143772,CY143775,CY143774,CY143773,CY143776
CY143787,CY143786,CY143785,CY143780,CY143783,CY143782,CY143781,CY143784
CY143795,CY143794,CY143793,CY143788,CY143791,CY143790,CY143789,CY143792
CY143803,CY143802,CY143801,CY143796,CY143799,CY143798,CY143797,CY143800
CY141797,CY141796,CY141795,CY141790,CY141793,CY141792,CY141791,CY141794
CY141853,CY141852,CY141851,CY141846,CY141849,CY141848,CY141847,CY141850
CY141901,CY141900,CY141899,CY141894,CY141897,CY141896,CY141895,CY141898
CY141965,CY141964,CY141963,CY141958,CY141961,CY141960,CY141959,CY141962
CY141981,CY141980,CY141979,CY141974,CY141977,CY141976,CY141975,CY141978
CY125757,CY125756,CY125755,CY125750,CY125753,CY125752,CY125751,CY125754
CY144094,CY144093,CY144092,CY144087,CY144090,CY144089,CY144088,CY144091
CY143966,CY143965,CY143964,CY143959,CY143962,CY143961,CY143960,CY143963
CY143974,CY143973,CY143972,CY143967,CY143970,CY143969,CY143968,CY143971
CY144110,CY144109,CY144108,CY144103,CY144106,CY144105,CY144104,CY144107
CY143982,CY143981,CY143980,CY143975,CY143978,CY143977,CY143976,CY143979
CY144126,CY144125,CY144124,CY144119,CY144122,CY144121,CY144120,CY144123
CY143884,CY143883,CY143882,CY143877,CY143880,CY143879,CY143878,CY143881
CY142129,CY142128,CY142127,CY142122,CY142125,CY142124,CY142123,CY142126
CY136188,CY136187,CY136186,CY136181,CY136184,CY136183,CY136182,CY136185
CY142649,CY142648,CY142647,CY142642,CY142645,CY142644,CY142643,CY142646
CY142753,CY142752,CY142751,CY142746,CY142749,CY142748,CY142747,CY142750
CY143403,CY143402,CY143401,CY143396,CY143399,CY143398,CY143397,CY143400
CY136154,CY136153,CY136152,CY136147,CY136150,CY136149,CY136148,CY136151
CY142729,CY142728,CY142727,CY142722,CY142725,CY142724,CY142723,CY142726
CY142561,CY142560,CY142559,CY142554,CY142557,CY142556,CY142555,CY142558
CY142793,CY142792,CY142791,CY142786,CY142789,CY142788,CY142787,CY142790
CY142889,CY142888,CY142887,CY142882,CY142885,CY142884,CY142883,CY142886
CY142745,CY142744,CY142743,CY142738,CY142741,CY142740,CY142739,CY142742
CY142137,CY142136,CY142135,CY142130,CY142133,CY142132,CY142131,CY142134
CY142305,CY142304,CY142303,CY142298,CY142301,CY142300,CY142299,CY142302
CY078786,CY078785,CY078784,CY078779,CY078782,CY078781,CY078780,CY078783
CY079613,CY079612,CY079611,CY079606,CY079609,CY079608,CY079607,CY079610
CY130263,CY130262,CY130261,CY130256,CY130259,CY130258,CY130257,CY130260
CY080153,CY080152,CY080151,CY080146,CY080149,CY080148,CY080147,CY080150
CY078874,CY078873,CY078872,CY078867,CY078870,CY078869,CY078868,CY078871
CY078746,CY078745,CY078744,CY078739,CY078742,CY078741,CY078740,CY078743
CY078802,CY078801,CY078800,CY078795,CY078798,CY078797,CY078796,CY078799
CY078858,CY078857,CY078856,CY078851,CY078854,CY078853,CY078852,CY078855
CY130255,CY130254,CY130253,CY130248,CY130251,CY130250,CY130249,CY130252
CY079799,CY079798,CY079797,CY079792,CY079795,CY079794,CY079793,CY079796
CY079597,CY079596,CY079595,CY079590,CY079593,CY079592,CY079591,CY079594
CY078778,CY078777,CY078776,CY078771,CY078774,CY078773,CY078772,CY078775
CY079830,CY079829,CY079828,CY079823,CY079826,CY079825,CY079824,CY079827
CY079838,CY079837,CY079836,CY079831,CY079834,CY079833,CY079832,CY079835
CY078722,CY078721,CY078720,CY078715,CY078718,CY078717,CY078716,CY078719
CY079589,CY079588,CY079587,CY079582,CY079585,CY079584,CY079583,CY079586
CY078762,CY078761,CY078760,CY078755,CY078758,CY078757,CY078756,CY078759
CY078842,CY078841,CY078840,CY078835,CY078838,CY078837,CY078836,CY078839
CY079893,CY079892,CY079891,CY079886,CY079889,CY079888,CY079887,CY079890
CY130247,CY130246,CY130245,CY130240,CY130243,CY130242,CY130241,CY130244
CY078770,CY078769,CY078768,CY078763,CY078766,CY078765,CY078764,CY078767
CY078810,CY078809,CY078808,CY078803,CY078806,CY078805,CY078804,CY078807
CY078818,CY078817,CY078816,CY078811,CY078814,CY078813,CY078812,CY078815
CY079854,CY079853,CY079852,CY079847,CY079850,CY079849,CY079848,CY079851
CY078850,CY078849,CY078848,CY078843,CY078846,CY078845,CY078844,CY078847
CY078866,CY078865,CY078864,CY078859,CY078862,CY078861,CY078860,CY078863
CY130279,CY130278,CY130277,CY130272,CY130275,CY130274,CY130273,CY130276
CY079846,CY079845,CY079844,CY079839,CY079842,CY079841,CY079840,CY079843
CY078826,CY078825,CY078824,CY078819,CY078822,CY078821,CY078820,CY078823
CY079869,CY079868,CY079867,CY079862,CY079865,CY079864,CY079863,CY079866
CY130216,CY130215,CY130214,CY130209,CY130212,CY130211,CY130210,CY130213
CY142737,CY142736,CY142735,CY142730,CY142733,CY142732,CY142731,CY142734
CY142825,CY142824,CY142823,CY142818,CY142821,CY142820,CY142819,CY142822
CY078738,CY078737,CY078736,CY078731,CY078734,CY078733,CY078732,CY078735
CY078754,CY078753,CY078752,CY078747,CY078750,CY078749,CY078748,CY078751
CY079807,CY079806,CY079805,CY079800,CY079803,CY079802,CY079801,CY079804
CY079822,CY079821,CY079820,CY079815,CY079818,CY079817,CY079816,CY079819
CY079605,CY079604,CY079603,CY079598,CY079601,CY079600,CY079599,CY079602
CY078794,CY078793,CY078792,CY078787,CY078790,CY078789,CY078788,CY078791
CY078834,CY078833,CY078832,CY078827,CY078830,CY078829,CY078828,CY078831
CY130355,CY130354,CY130353,CY130348,CY130351,CY130350,CY130349,CY130352
CY130271,CY130270,CY130269,CY130264,CY130267,CY130266,CY130265,CY130268
CY078730,CY078729,CY078728,CY078723,CY078726,CY078725,CY078724,CY078727
CY136069,CY136068,CY136067,CY136062,CY136065,CY136064,CY136063,CY136066
CY130239,CY130238,CY130237,CY130232,CY130235,CY130234,CY130233,CY130236
CY130208,CY130207,CY130206,CY130201,CY130204,CY130203,CY130202,CY130205
CY130287,CY130286,CY130285,CY130280,CY130283,CY130282,CY130281,CY130284
CY142104,CY142103,CY142102,CY142097,CY142100,CY142099,CY142098,CY142101
CY142545,CY142544,CY142543,CY142538,CY142541,CY142540,CY142539,CY142542
CY142553,CY142552,CY142551,CY142546,CY142549,CY142548,CY142547,CY142550
CY142112,CY142111,CY142110,CY142105,CY142108,CY142107,CY142106,CY142109
CY135382,CY135381,CY135380,CY135375,CY135378,CY135377,CY135376,CY135379
CY135398,CY135397,CY135396,CY135391,CY135394,CY135393,CY135392,CY135395
CY130303,CY130302,CY130301,CY130296,CY130299,CY130298,CY130297,CY130300
CY135366,CY135365,CY135364,CY135359,CY135362,CY135361,CY135360,CY135363
CY135486,CY135485,CY135484,CY135479,CY135482,CY135481,CY135480,CY135483
CY135494,CY135493,CY135492,CY135487,CY135490,CY135489,CY135488,CY135491
CY135350,CY135349,CY135348,CY135343,CY135346,CY135345,CY135344,CY135347
CY142313,CY142312,CY142311,CY142306,CY142309,CY142308,CY142307,CY142310
CY142064,CY142063,CY142062,CY142057,CY142060,CY142059,CY142058,CY142061
CY142080,CY142079,CY142078,CY142073,CY142076,CY142075,CY142074,CY142077
CY142088,CY142087,CY142086,CY142081,CY142084,CY142083,CY142082,CY142085
CY142809,CY142808,CY142807,CY142802,CY142805,CY142804,CY142803,CY142806
CY142409,CY142408,CY142407,CY142402,CY142405,CY142404,CY142403,CY142406
CY143265,CY143264,CY143263,CY143258,CY143261,CY143260,CY143259,CY143262
CY142321,CY142320,CY142319,CY142314,CY142317,CY142316,CY142315,CY142318
CY136170,CY136169,CY136168,CY136163,CY136166,CY136165,CY136164,CY136167
CY142993,CY142992,CY142991,CY142986,CY142989,CY142988,CY142987,CY142990
CY136316,CY136315,CY136314,CY136309,CY136312,CY136311,CY136310,CY136313
CY136324,CY136323,CY136322,CY136317,CY136320,CY136319,CY136318,CY136321
CY143273,CY143272,CY143271,CY143266,CY143269,CY143268,CY143267,CY143270
CY143025,CY143024,CY143023,CY143018,CY143021,CY143020,CY143019,CY143022
CY142329,CY142328,CY142327,CY142322,CY142325,CY142324,CY142323,CY142326
CY143041,CY143040,CY143039,CY143034,CY143037,CY143036,CY143035,CY143038
CY142361,CY142360,CY142359,CY142354,CY142357,CY142356,CY142355,CY142358
CY142369,CY142368,CY142367,CY142362,CY142365,CY142364,CY142363,CY142366
CY142385,CY142384,CY142383,CY142378,CY142381,CY142380,CY142379,CY142382
CY142393,CY142392,CY142391,CY142386,CY142389,CY142388,CY142387,CY142390
CY143289,CY143288,CY143287,CY143282,CY143285,CY143284,CY143283,CY143286
CY143459,CY143458,CY143457,CY143452,CY143455,CY143454,CY143453,CY143456
CY143297,CY143296,CY143295,CY143290,CY143293,CY143292,CY143291,CY143294
CY142761,CY142760,CY142759,CY142754,CY142757,CY142756,CY142755,CY142758
